"variable","var_type","var_label","row_type","label","stat_0","stat_1","stat_2","stat_3","stat_4","stat_5","stat_6","stat_7","stat_8","stat_9","stat_10","stat_11","stat_12","stat_13"
"Currency","categorical","Number of Currencies","level","JOD","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","JPY","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","KES","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","KGS","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (9%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","KMF","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","KRW","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","KWD","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","KYD","1 (0%)","0 (0%)","0 (0%)","1 (3%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","KZT","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (9%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","LAK","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","LKR","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","LSL","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","LYD","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (14%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","MAD","2 (1%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","2 (29%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","MDL","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","MGA","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (2%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","MKD","1 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","1 (7%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","MMK","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","MNT","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
"Currency","categorical","Number of Currencies","level","MOP","1 (0%)","1 (4%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)","0 (0%)"
